src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH
2100101,2100106,0.003877267365554
2100101,2100109,0.004199177655907001
2100101,2100114,0.005315623706221
2100101,2100117,0.004095571132431
2100102,2100106,0.001014170591002
2100102,2100112,0.002858553553983
2100102,2100114,0.004773136475581
2100105,2100107,0.0056326188536910005
2100105,2100108,0.010009254314893
2100105,2100614,0.007261332032261998
2100106,2100108,0.004043775395202
2100106,2100109,0.004017247273683001
2100106,2100114,0.0012160546571330002
2100107,2100108,0.0031229823981590004
2100107,2100109,0.001900210537824
2100107,2100202,0.005977726898136
2100108,2100109,0.004952307806514
2100109,2100117,0.009003164787253999
2100110,2100111,0.006049000760561999
2100110,2100112,0.002665274239695
2100110,2100114,0.001402875257121
2100110,2100117,0.004235286110626
2100111,2100112,0.003525423187594001
2100111,2100113,0.006800858637306
2100112,2100113,0.002769707209406
2100112,2100114,0.004532780894505001
2100114,2100117,0.006833625584772
2100115,2101011,0.017409498353671
2100117,2100201,0.009960729648412
2100117,2100202,0.007635030121093
2100201,2100202,0.0016147057974289995
2100201,2100203,0.0028582129049340003
2100201,2100204,0.003601000454238
2100202,2100203,0.0069983021204
2100202,2100208,0.002427784704597
2100203,2100204,0.007170287569124001
2100204,2100225,0.000891771232457
2100205,2100211,0.007447720312576
2100205,2100214,0.0017716224035939996
2100205,2100230,0.002702998021582
2100205,2100424,0.003811640295254
2100205,2100427,0.0012811880376949998
2100206,2100207,0.006906909023646
2100206,2100208,0.011830356037915
2100206,2100211,0.0041486828629000005
2100207,2100208,0.00252193214803
2100207,2100211,0.004456162491499001
2100207,2100213,0.002103261430092
2100207,2100233,0.002343601925791
2100208,2100212,0.002143133864914
2100208,2100222,0.001569792018659
2100211,2100214,0.00029942550055
2100211,2100232,0.002132221756296
2100212,2100217,0.002074964442593
2100212,2100222,0.008483972260276
2100212,2100233,0.008494032994809001
2100213,2100218,0.0021039359939360003
2100213,2100232,0.008483525073738
2100213,2100233,0.008479239918415
2100214,2100215,0.002099175332026
2100214,2100230,0.008486878833343
2100214,2100232,0.008481206985586
2100215,2100216,0.006315729114351999
2100215,2100230,0.002105374450319
2100215,2100231,0.007402084203054
2100215,2100426,0.003018587620592
2100216,2100219,0.005259660968608
2100216,2100407,0.00685218767827
2100216,2100411,0.004431451406209001
2100216,2100430,0.002856048657247
2100217,2100219,0.002112350358393
2100217,2100220,0.004742123104355
2100217,2100221,0.004821269813750999
2100217,2100222,0.002108471873609
2100217,2100226,0.007402265076624
2100217,2100227,0.002437496603506
2100218,2100219,0.0021103132500510003
2100218,2100226,0.007406208930375
2100218,2100231,0.007404666282663
2100219,2100221,0.004615837703323
2100219,2100226,0.002420178765572
2100219,2100231,0.002110258084056
2100219,2100234,0.005531507601310001
2100219,2100303,0.0032826675910509998
2100219,2100330,0.001184479417306
2100219,2100407,0.001639806802244
2100219,2100410,0.0053447419616170005
2100220,2100221,0.00350640917804
2100220,2100227,0.004592991052953
2100221,2100224,0.003937200610131
2100221,2100227,0.002793041781915
2100221,2100323,0.004366004669609
2100221,2100330,0.006468495070188
2100221,2100331,0.00635220243223
2100222,2100223,0.00565886876236
2100222,2100227,0.002103528695193
2100223,2100224,0.004180309388838
2100223,2100227,0.00453566131395
2100224,2100227,0.0007141912604089999
2100224,2100229,0.008539716385553
2100224,2100323,0.001839955990764
2100225,2100228,0.003177028582197
2100225,2100824,0.006602774530134
2100225,2100825,0.003472236766455
2100226,2100233,0.002403137795643
2100228,2100229,0.003150410866744
2100228,2100826,0.003749552192594
2100228,2100827,0.0034115119167040004
2100228,2100828,0.001589902770421
2100229,2100323,0.0021561419391270004
2100229,2100808,0.003782528180826
2100229,2100809,0.006434767482041999
2100230,2100426,0.003021103254321
2100230,2100427,0.004901713153052999
2100231,2100232,0.002113487055024
2100234,2100303,0.001952804545302
2100234,2100307,0.003089533841037
2100234,2100308,0.001250444577171
2100234,2100339,0.001872519036834
2100234,2100409,0.002627734952883
2100234,2100410,0.002650195434222
2100301,2100311,0.037808950753007005
2100301,2100326,0.022779339057618
2100301,2100327,0.006259167479036
2100301,2100329,0.005916148042971
2100301,2100342,0.019028562095916
2100301,2100346,0.003117937247092
2100301,2100347,0.032668977051859
2100302,2100306,0.007668138817525
2100302,2100308,0.003050496746755
2100302,2100344,0.0021689077065640003
2100302,2100348,0.006246218851791
2100302,2100349,0.001346995692746
2100302,2100351,0.0027305749981370005
2100303,2100304,0.00363068135123
2100303,2100307,0.004059860389261
2100303,2100319,0.002460288536117
2100303,2100322,0.0035605939658400008
2100303,2100330,0.005051828097168
2100304,2100305,0.003119376928074
2100304,2100307,0.0067630645848
